DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.0179286	1	7	3	7	3	1	1	0	6306	28	0	52.1942 	0	0
UL	0.0179821	1	7	3	10	3	1	2	0	6306	28	0	48.0453 	0	0
DL	0.0180714	1	8	0	1	3	1	1	0	6306	28	0	52.2459	0	0
DL	0.018125	1	8	0	4	3	1	2	0	6306	28	0	48.0241	0	0
UL	0.0181786	1	8	0	7	3	1	1	0	6306	28	0	52.2616 	0	0
UL	0.0182321	1	8	0	10	3	1	2	0	6306	28	0	47.9902 	0	0
DL	0.0183214	1	8	1	1	3	1	1	0	6306	28	0	52.337	0	0
DL	0.018375	1	8	1	4	3	1	2	0	6306	28	0	47.9096	0	0
UL	0.0184286	1	8	1	7	3	1	1	0	6306	28	0	52.3284 	0	0
UL	0.0184821	1	8	1	10	3	1	2	0	6306	28	0	47.989 	0	0
DL	0.0185714	1	8	2	1	3	1	1	0	6306	28	0	52.3364	0	0
DL	0.018625	1	8	2	4	3	1	2	0	6306	28	0	48.0043	0	0
UL	0.0186786	1	8	2	7	3	1	1	0	6306	28	0	52.3707 	0	0
UL	0.0187321	1	8	2	10	3	1	2	0	6306	28	0	47.9792 	0	0
DL	0.0188214	1	8	3	1	3	1	1	0	6306	28	0	52.3967	0	0
DL	0.018875	1	8	3	4	3	1	2	0	6306	28	0	48.037	0	0
UL	0.0189286	1	8	3	7	3	1	1	0	6306	28	0	52.3808 	0	0
UL	0.0189821	1	8	3	10	3	1	2	0	6306	28	0	48.0186 	0	0
DL	0.0190714	1	9	0	1	3	1	1	0	6306	28	0	52.4201	0	0
DL	0.019125	1	9	0	4	3	1	2	0	6306	28	0	48.0523	0	0
UL	0.0191786	1	9	0	7	3	1	1	0	6306	28	0	52.4386 	0	0
UL	0.0192321	1	9	0	10	3	1	2	0	6306	28	0	48.0731 	0	0
DL	0.0193214	1	9	1	1	3	1	1	0	6306	28	0	52.3678	0	0
DL	0.019375	1	9	1	4	3	1	2	0	6306	28	0	48.0797	0	0
UL	0.0194286	1	9	1	7	3	1	1	0	6306	28	0	52.4205 	0	0
UL	0.0194821	1	9	1	10	3	1	2	0	6306	28	0	48.0807 	0	0
DL	0.0195714	1	9	2	1	3	1	1	0	6306	28	0	52.5099	0	0
DL	0.019625	1	9	2	4	3	1	2	0	6306	28	0	48.0683	0	0
UL	0.0196786	1	9	2	7	3	1	1	0	6306	28	0	52.5435 	0	0
UL	0.0197321	1	9	2	10	3	1	2	0	6306	28	0	48.1039 	0	0
DL	0.0198214	1	9	3	1	3	1	1	0	6306	28	0	52.573	0	0
DL	0.019875	1	9	3	4	3	1	2	0	6306	28	0	48.028	0	0
UL	0.0199286	1	9	3	7	3	1	1	0	6306	28	0	52.576 	0	0
UL	0.0199821	1	9	3	10	3	1	2	0	6306	28	0	48.0066 	0	0
DL	0.0200714	2	0	0	1	3	1	1	0	6306	28	0	52.5769	0	0
DL	0.020125	2	0	0	4	3	1	2	0	6306	28	0	48.1212	0	0
UL	0.0201786	2	0	0	7	3	1	1	0	6306	28	0	52.6047 	0	0
UL	0.0202321	2	0	0	10	3	1	2	0	6306	28	0	48.1299 	0	0
DL	0.0203214	2	0	1	1	3	1	1	0	6306	28	0	52.6399	0	0
DL	0.020375	2	0	1	4	3	1	2	0	6306	28	0	48.1501	0	0
UL	0.0204286	2	0	1	7	3	1	1	0	6306	28	0	52.6005 	0	0
UL	0.0204821	2	0	1	10	3	1	2	0	6306	28	0	48.2054 	0	0
DL	0.0205714	2	0	2	1	3	1	1	0	6306	28	0	52.5655	0	0
DL	0.020625	2	0	2	4	3	1	2	0	6306	28	0	48.1448	0	0
UL	0.0206786	2	0	2	7	3	1	1	0	6306	28	0	52.5165 	0	0
UL	0.0207321	2	0	2	10	3	1	2	0	6306	28	0	48.2113 	0	0
DL	0.0208214	2	0	3	1	3	1	1	0	6306	28	0	52.4957	0	0
DL	0.020875	2	0	3	4	3	1	2	0	6306	28	0	48.2186	0	0
UL	0.0209286	2	0	3	7	3	1	1	0	6306	28	0	52.4559 	0	0
UL	0.0209821	2	0	3	10	3	1	2	0	6306	28	0	48.3374 	0	0
DL	0.0210714	2	1	0	1	3	1	1	0	6306	28	0	52.4167	0	0
DL	0.021125	2	1	0	4	3	1	2	0	6306	28	0	48.3184	0	0
UL	0.0211786	2	1	0	7	3	1	1	0	6306	28	0	52.4007 	0	0
UL	0.0212321	2	1	0	10	3	1	2	0	6306	28	0	48.2982 	0	0
DL	0.0213214	2	1	1	1	3	1	1	0	6306	28	0	52.4684	0	0
DL	0.021375	2	1	1	4	3	1	2	0	6306	28	0	48.2712	0	0
UL	0.0214286	2	1	1	7	3	1	1	0	6306	28	0	52.4662 	0	0
UL	0.0214821	2	1	1	10	3	1	2	0	6306	28	0	48.1997 	0	0
DL	0.0215714	2	1	2	1	3	1	1	0	6306	28	0	52.4841	0	0
DL	0.021625	2	1	2	4	3	1	2	0	6306	28	0	48.1696	0	0
UL	0.0216786	2	1	2	7	3	1	1	0	6306	28	0	52.4786 	0	0
UL	0.0217321	2	1	2	10	3	1	2	0	6306	28	0	48.1519 	0	0
DL	0.0218214	2	1	3	1	3	1	1	0	6306	28	0	52.4511	0	0
DL	0.021875	2	1	3	4	3	1	2	0	6306	28	0	48.1583	0	0
UL	0.0219286	2	1	3	7	3	1	1	0	6306	28	0	52.3838 	0	0
UL	0.0219821	2	1	3	10	3	1	2	0	6306	28	0	48.1251 	0	0
DL	0.0220714	2	2	0	1	3	1	1	0	6306	28	0	52.4304	0	0
DL	0.022125	2	2	0	4	3	1	2	0	6306	28	0	48.1411	0	0
UL	0.0221786	2	2	0	7	3	1	1	0	6306	28	0	52.4007 	0	0
UL	0.0222321	2	2	0	10	3	1	2	0	6306	28	0	48.188 	0	0
DL	0.0223214	2	2	1	1	3	1	1	0	6306	28	0	52.4008	0	0
DL	0.022375	2	2	1	4	3	1	2	0	6306	28	0	48.1036	0	0
UL	0.0224286	2	2	1	7	3	1	1	0	6306	28	0	52.3768 	0	0
UL	0.0224821	2	2	1	10	3	1	2	0	6306	28	0	48.0718 	0	0
DL	0.0225714	2	2	2	1	3	1	1	0	6306	28	0	52.3754	0	0
DL	0.022625	2	2	2	4	3	1	2	0	6306	28	0	48.1561	0	0
UL	0.0226786	2	2	2	7	3	1	1	0	6306	28	0	52.457 	0	0
UL	0.0227321	2	2	2	10	3	1	2	0	6306	28	0	48.1887 	0	0
DL	0.0228214	2	2	3	1	3	1	1	0	6306	28	0	52.5215	0	0
DL	0.022875	2	2	3	4	3	1	2	0	6306	28	0	48.2017	0	0
