DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.032125	3	2	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0322321	3	2	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.032375	3	2	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0324821	3	2	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.032625	3	2	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0327321	3	2	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.032875	3	2	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0329821	3	2	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.033125	3	3	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0332321	3	3	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.033375	3	3	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0334821	3	3	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.033625	3	3	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0337321	3	3	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.033875	3	3	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0339821	3	3	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.034125	3	4	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0342321	3	4	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.034375	3	4	1	1	6	1	1	0	12761	28	0	nan	1	0.00389299
UL	0.0344821	3	4	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.034625	3	4	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0347321	3	4	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.034875	3	4	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0349821	3	4	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.035125	3	5	0	1	6	1	1	0	12761	28	1	nan	0	0
DL	0.0352321	3	5	0	7	6	1	1	0	12761	28	2	nan	0	0.00389299
DL	0.035375	3	5	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0354821	3	5	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.035625	3	5	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0357321	3	5	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.035875	3	5	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0359821	3	5	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.036125	3	6	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0362321	3	6	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.036375	3	6	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0364821	3	6	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.036625	3	6	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0367321	3	6	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
